Tree	Transformed_Tree	One	Two	Three	Pattern	Corpus
knjigo <obj prebirala >nsubj MARIJAN	['knjigo <obj', 'prebirala', '>nsubj MARIJAN']	O	V	S	OVS	SSJ
kolega <nsubj nekaj <obj zašepetal	['kolega <nsubj', 'nekaj <obj', 'zašepetal']	S	O	V	SOV	SSJ
količino <obj ima >nsubj kartica	['količino <obj', 'ima', '>nsubj kartica']	O	V	S	OVS	SSJ
količino <obj uravnavata >nsubj sklopa	['količino <obj', 'uravnavata', '>nsubj sklopa']	O	V	S	OVS	SSJ
komandosi <nsubj odpeljali >obj Rugove	['komandosi <nsubj', 'odpeljali', '>obj Rugove']	S	V	O	SVO	SSJ
kombinacija <nsubj omogočila >obj trgovino	['kombinacija <nsubj', 'omogočila', '>obj trgovino']	S	V	O	SVO	SSJ
komentiral >obj nastop >nsubj kolesar	['komentiral', '>obj nastop', '>nsubj kolesar']	V	O	S	VOS	SSJ
komercialka <nsubj krade >obj športe	['komercialka <nsubj', 'krade', '>obj športe']	S	V	O	SVO	SSJ
komisija <nsubj ga <obj razvila	['komisija <nsubj', 'ga <obj', 'razvila']	S	O	V	SOV	SSJ
komisija <nsubj ima >obj članov	['komisija <nsubj', 'ima', '>obj članov']	S	V	O	SVO	SSJ
komisija <nsubj izžrebala >obj potovanje	['komisija <nsubj', 'izžrebala', '>obj potovanje']	S	V	O	SVO	SSJ
komisija <nsubj načelo <obj potrdila	['komisija <nsubj', 'načelo <obj', 'potrdila']	S	O	V	SOV	SSJ
komisija <nsubj objavlja >obj poročilo	['komisija <nsubj', 'objavlja', '>obj poročilo']	S	V	O	SVO	SSJ
komisija <nsubj razglasila >obj Fujimorija	['komisija <nsubj', 'razglasila', '>obj Fujimorija']	S	V	O	SVO	SSJ
komisija <nsubj umaknila >obj predlog	['komisija <nsubj', 'umaknila', '>obj predlog']	S	V	O	SVO	SSJ
komisija <nsubj uporabila >obj rezervo	['komisija <nsubj', 'uporabila', '>obj rezervo']	S	V	O	SVO	SSJ
komisije <nsubj delale >obj preiskave	['komisije <nsubj', 'delale', '>obj preiskave']	S	V	O	SVO	SSJ
komponente <nsubj vključujejo >obj žiroskop	['komponente <nsubj', 'vključujejo', '>obj žiroskop']	S	V	O	SVO	SSJ
komu <obj hiša <nsubj pripada	['komu <obj', 'hiša <nsubj', 'pripada']	O	S	V	OSV	SSJ
komu <obj preti >nsubj napad	['komu <obj', 'preti', '>nsubj napad']	O	V	S	OVS	SSJ
komu <obj teče >nsubj vode	['komu <obj', 'teče', '>nsubj vode']	O	V	S	OVS	SSJ
komu <obj uspel >nsubj met	['komu <obj', 'uspel', '>nsubj met']	O	V	S	OVS	SSJ
koncepte <obj zamenjale >nsubj ideje	['koncepte <obj', 'zamenjale', '>nsubj ideje']	O	V	S	OVS	SSJ
koncerni <nsubj prislužili >obj milijonov	['koncerni <nsubj', 'prislužili', '>obj milijonov']	S	V	O	SVO	SSJ
konferenca <nsubj odločitev <obj preložila	['konferenca <nsubj', 'odločitev <obj', 'preložila']	S	O	V	SOV	SSJ
konference <obj udeležila >nsubj predstavnika	['konference <obj', 'udeležila', '>nsubj predstavnika']	O	V	S	OVS	SSJ
konj <nsubj navadil >obj protokola	['konj <nsubj', 'navadil', '>obj protokola']	S	V	O	SVO	SSJ
konsekvenco <obj izvajajo >nsubj voditelji	['konsekvenco <obj', 'izvajajo', '>nsubj voditelji']	O	V	S	OVS	SSJ
kopalci <nsubj prepustijo >obj toku	['kopalci <nsubj', 'prepustijo', '>obj toku']	S	V	O	SVO	SSJ
korak <obj naredil >nsubj Carl	['korak <obj', 'naredil', '>nsubj Carl']	O	V	S	OVS	SSJ
korak <obj naredil >nsubj Drago	['korak <obj', 'naredil', '>nsubj Drago']	O	V	S	OVS	SSJ
koristi <obj imeli >nsubj študentje	['koristi <obj', 'imeli', '>nsubj študentje']	O	V	S	OVS	SSJ
korporacija <nsubj kupila >obj delež	['korporacija <nsubj', 'kupila', '>obj delež']	S	V	O	SVO	SSJ
korpus <nsubj lotil >obj ovire	['korpus <nsubj', 'lotil', '>obj ovire']	S	V	O	SVO	SSJ
košev <obj dali >nsubj igralci	['košev <obj', 'dali', '>nsubj igralci']	O	V	S	OVS	SSJ
košček <nsubj ju <obj ločeval	['košček <nsubj', 'ju <obj', 'ločeval']	S	O	V	SOV	SSJ
koščice <nsubj posredujejo >obj zvok	['koščice <nsubj', 'posredujejo', '>obj zvok']	S	V	O	SVO	SSJ
kožo <obj oblila >nsubj rumenina	['kožo <obj', 'oblila', '>nsubj rumenina']	O	V	S	OVS	SSJ
kraj <nsubj občutil >obj ogroženost	['kraj <nsubj', 'občutil', '>obj ogroženost']	S	V	O	SVO	SSJ
krajani <nsubj predlagali >obj člane	['krajani <nsubj', 'predlagali', '>obj člane']	S	V	O	SVO	SSJ
kralj <nsubj napade >obj Egipt	['kralj <nsubj', 'napade', '>obj Egipt']	S	V	O	SVO	SSJ
kralj <nsubj naredil >obj postanek	['kralj <nsubj', 'naredil', '>obj postanek']	S	V	O	SVO	SSJ
kralj <nsubj zgradil >obj tempelj	['kralj <nsubj', 'zgradil', '>obj tempelj']	S	V	O	SVO	SSJ
kreacija <nsubj pritegnila >obj pozornost	['kreacija <nsubj', 'pritegnila', '>obj pozornost']	S	V	O	SVO	SSJ
kriminalisti <nsubj našli >obj ostanke	['kriminalisti <nsubj', 'našli', '>obj ostanke']	S	V	O	SVO	SSJ
kriminalisti <nsubj opravili >obj preiskave	['kriminalisti <nsubj', 'opravili', '>obj preiskave']	S	V	O	SVO	SSJ
kriminalisti <nsubj vzrok <obj ugotavljajo	['kriminalisti <nsubj', 'vzrok <obj', 'ugotavljajo']	S	O	V	SOV	SSJ
krimovke <nsubj lovijo >obj lovoriko	['krimovke <nsubj', 'lovijo', '>obj lovoriko']	S	V	O	SVO	SSJ
kriptografija <nsubj zahtevala >obj distribucijo	['kriptografija <nsubj', 'zahtevala', '>obj distribucijo']	S	V	O	SVO	SSJ
kristjani <nsubj stereotipizirali >obj družbo	['kristjani <nsubj', 'stereotipizirali', '>obj družbo']	S	V	O	SVO	SSJ
kritizira >obj odnos >nsubj Šuštar	['kritizira', '>obj odnos', '>nsubj Šuštar']	V	O	S	VOS	SSJ
krivulje <obj opisal >nsubj inženir	['krivulje <obj', 'opisal', '>nsubj inženir']	O	V	S	OVS	SSJ
kriza <nsubj dosegla >obj vrhunec	['kriza <nsubj', 'dosegla', '>obj vrhunec']	S	V	O	SVO	SSJ
križanje <nsubj pomeni >obj spreminjanje	['križanje <nsubj', 'pomeni', '>obj spreminjanje']	S	V	O	SVO	SSJ
križanje <nsubj ustvarja >obj diskurz	['križanje <nsubj', 'ustvarja', '>obj diskurz']	S	V	O	SVO	SSJ
krmilnik <nsubj predvaja >obj posnetke	['krmilnik <nsubj', 'predvaja', '>obj posnetke']	S	V	O	SVO	SSJ
krog <nsubj opisuje >obj gibanje	['krog <nsubj', 'opisuje', '>obj gibanje']	S	V	O	SVO	SSJ
krožniki <nsubj prinašajo >obj srečo	['krožniki <nsubj', 'prinašajo', '>obj srečo']	S	V	O	SVO	SSJ
krpanka <nsubj osvobodila >obj pravil	['krpanka <nsubj', 'osvobodila', '>obj pravil']	S	V	O	SVO	SSJ
kruh <nsubj ima >obj snovi	['kruh <nsubj', 'ima', '>obj snovi']	S	V	O	SVO	SSJ
kršenje <nsubj podleže >obj sankcijam	['kršenje <nsubj', 'podleže', '>obj sankcijam']	S	V	O	SVO	SSJ
krščanstvo <nsubj novačilo >obj mlade	['krščanstvo <nsubj', 'novačilo', '>obj mlade']	S	V	O	SVO	SSJ
kuharice <nsubj prikazali >obj pripravo	['kuharice <nsubj', 'prikazali', '>obj pripravo']	S	V	O	SVO	SSJ
kultura <nsubj dosegla >obj raven	['kultura <nsubj', 'dosegla', '>obj raven']	S	V	O	SVO	SSJ
kultura <nsubj ima >obj težo	['kultura <nsubj', 'ima', '>obj težo']	S	V	O	SVO	SSJ
kultura <nsubj imela >obj vpliv	['kultura <nsubj', 'imela', '>obj vpliv']	S	V	O	SVO	SSJ
kultura <nsubj posrkala >obj subkulture	['kultura <nsubj', 'posrkala', '>obj subkulture']	S	V	O	SVO	SSJ
kultura <nsubj pritegnila >obj Slovence	['kultura <nsubj', 'pritegnila', '>obj Slovence']	S	V	O	SVO	SSJ
kulture <nsubj debelost <obj razumele	['kulture <nsubj', 'debelost <obj', 'razumele']	S	O	V	SOV	SSJ
kuna <nsubj vnaša >obj nemir	['kuna <nsubj', 'vnaša', '>obj nemir']	S	V	O	SVO	SSJ
kupci <nsubj kupovali >obj datoteke	['kupci <nsubj', 'kupovali', '>obj datoteke']	S	V	O	SVO	SSJ
kupci <nsubj uporabljajo >obj mobilnike	['kupci <nsubj', 'uporabljajo', '>obj mobilnike']	S	V	O	SVO	SSJ
kupolo <obj podpira >nsubj stebrov	['kupolo <obj', 'podpira', '>nsubj stebrov']	O	V	S	OVS	SSJ
labod <nsubj izkoristu >obj dame	['labod <nsubj', 'izkoristu', '>obj dame']	S	V	O	SVO	SSJ
ladje <nsubj opazile >obj ladjo	['ladje <nsubj', 'opazile', '>obj ladjo']	S	V	O	SVO	SSJ
lase <obj dela >nsubj načrt	['lase <obj', 'dela', '>nsubj načrt']	O	V	S	OVS	SSJ
lasje <nsubj prekrili >obj obraz	['lasje <nsubj', 'prekrili', '>obj obraz']	S	V	O	SVO	SSJ
lastnik <nsubj obvladoval >obj posel	['lastnik <nsubj', 'obvladoval', '>obj posel']	S	V	O	SVO	SSJ
lastniki <nsubj najeli >obj arhitekta	['lastniki <nsubj', 'najeli', '>obj arhitekta']	S	V	O	SVO	SSJ
legijo <obj priznal >nsubj senat	['legijo <obj', 'priznal', '>nsubj senat']	O	V	S	OVS	SSJ
lestvica <nsubj mi <obj prekucnila	['lestvica <nsubj', 'mi <obj', 'prekucnila']	S	O	V	SOV	SSJ
let <nsubj rodilo >obj sadov	['let <nsubj', 'rodilo', '>obj sadov']	S	V	O	SVO	SSJ
letali <nsubj zadeli >obj nebotičnika	['letali <nsubj', 'zadeli', '>obj nebotičnika']	S	V	O	SVO	SSJ
lev <nsubj raztrgal >obj ograjo	['lev <nsubj', 'raztrgal', '>obj ograjo']	S	V	O	SVO	SSJ
likalnik <nsubj mu <obj zdi	['likalnik <nsubj', 'mu <obj', 'zdi']	S	O	V	SOV	SSJ
listi <nsubj ohranijo >obj barvo	['listi <nsubj', 'ohranijo', '>obj barvo']	S	V	O	SVO	SSJ
ljubezen <nsubj potrjevala >obj aporijo	['ljubezen <nsubj', 'potrjevala', '>obj aporijo']	S	V	O	SVO	SSJ
ljubezen <nsubj pričakuje >obj odmev	['ljubezen <nsubj', 'pričakuje', '>obj odmev']	S	V	O	SVO	SSJ
ljubezen <nsubj zahteva >obj povračila	['ljubezen <nsubj', 'zahteva', '>obj povračila']	S	V	O	SVO	SSJ
ljubezen <obj ima >nsubj tisti	['ljubezen <obj', 'ima', '>nsubj tisti']	O	V	S	OVS	SSJ
ljubitelji <nsubj naučili >obj pesmi	['ljubitelji <nsubj', 'naučili', '>obj pesmi']	S	V	O	SVO	SSJ
ljudi <nsubj obiskalo >obj premiero	['ljudi <nsubj', 'obiskalo', '>obj premiero']	S	V	O	SVO	SSJ
ljudi <nsubj preživi >obj dni	['ljudi <nsubj', 'preživi', '>obj dni']	S	V	O	SVO	SSJ
ljudi <obj gane >nsubj Natacha	['ljudi <obj', 'gane', '>nsubj Natacha']	O	V	S	OVS	SSJ
ljudi <obj tlačila >nsubj mora	['ljudi <obj', 'tlačila', '>nsubj mora']	O	V	S	OVS	SSJ
ljudje <nsubj izgubljali >obj delo	['ljudje <nsubj', 'izgubljali', '>obj delo']	S	V	O	SVO	SSJ
ljudje <nsubj nimamo >obj vloge	['ljudje <nsubj', 'nimamo', '>obj vloge']	S	V	O	SVO	SSJ
ljudje <nsubj razvili >obj poljedelstva	['ljudje <nsubj', 'razvili', '>obj poljedelstva']	S	V	O	SVO	SSJ
ljudje <nsubj spoznavali >obj sebe	['ljudje <nsubj', 'spoznavali', '>obj sebe']	S	V	O	SVO	SSJ
ljudje <nsubj sprostili >obj sile	['ljudje <nsubj', 'sprostili', '>obj sile']	S	V	O	SVO	SSJ
ljudje <nsubj uporabljajo >obj pasto	['ljudje <nsubj', 'uporabljajo', '>obj pasto']	S	V	O	SVO	SSJ
ljudje <nsubj uporabljali >obj signale	['ljudje <nsubj', 'uporabljali', '>obj signale']	S	V	O	SVO	SSJ
ljudje <nsubj vrsti <obj zamenjujejo	['ljudje <nsubj', 'vrsti <obj', 'zamenjujejo']	S	O	V	SOV	SSJ
ljudje <nsubj zapuščali >obj domovino	['ljudje <nsubj', 'zapuščali', '>obj domovino']	S	V	O	SVO	SSJ
ljudje <nsubj želijo >obj tistega	['ljudje <nsubj', 'želijo', '>obj tistega']	S	V	O	SVO	SSJ
ljudstvo <nsubj spoštovalo >obj dni	['ljudstvo <nsubj', 'spoštovalo', '>obj dni']	S	V	O	SVO	SSJ
ljudstvo <nsubj to <obj sprejelo	['ljudstvo <nsubj', 'to <obj', 'sprejelo']	S	O	V	SOV	SSJ
logotip <nsubj pritegne >obj pozornost	['logotip <nsubj', 'pritegne', '>obj pozornost']	S	V	O	SVO	SSJ
lokusi <nsubj pokazali >obj učinek	['lokusi <nsubj', 'pokazali', '>obj učinek']	S	V	O	SVO	SSJ
luna <nsubj obsijala >obj gladino	['luna <nsubj', 'obsijala', '>obj gladino']	S	V	O	SVO	SSJ
lupina <nsubj vsebuje >obj pomoči	['lupina <nsubj', 'vsebuje', '>obj pomoči']	S	V	O	SVO	SSJ
luč <obj ugledali >nsubj pametniki	['luč <obj', 'ugledali', '>nsubj pametniki']	O	V	S	OVS	SSJ
magdalenica <nsubj spremenila >obj literaturo	['magdalenica <nsubj', 'spremenila', '>obj literaturo']	S	V	O	SVO	SSJ
mama <nsubj imela >obj doto	['mama <nsubj', 'imela', '>obj doto']	S	V	O	SVO	SSJ
mama <nsubj me <obj ugriznila	['mama <nsubj', 'me <obj', 'ugriznila']	S	O	V	SOV	SSJ
mamice <nsubj mažejo >obj ritke	['mamice <nsubj', 'mažejo', '>obj ritke']	S	V	O	SVO	SSJ
manko <nsubj ga <obj napeljuje	['manko <nsubj', 'ga <obj', 'napeljuje']	S	O	V	SOV	SSJ
marsikdo <nsubj izpolnjeval >obj pogojev	['marsikdo <nsubj', 'izpolnjeval', '>obj pogojev']	S	V	O	SVO	SSJ
maseratiji <nsubj izkoristili >obj moč	['maseratiji <nsubj', 'izkoristili', '>obj moč']	S	V	O	SVO	SSJ
mat <nsubj ga <obj pelala	['mat <nsubj', 'ga <obj', 'pelala']	S	O	V	SOV	SSJ
matere <nsubj dojile >obj otroke	['matere <nsubj', 'dojile', '>obj otroke']	S	V	O	SVO	SSJ
mati <nsubj dobi >obj napotke	['mati <nsubj', 'dobi', '>obj napotke']	S	V	O	SVO	SSJ
mati <nsubj izprosila >obj to	['mati <nsubj', 'izprosila', '>obj to']	S	V	O	SVO	SSJ
maščevanje <nsubj ga <obj premamilo	['maščevanje <nsubj', 'ga <obj', 'premamilo']	S	O	V	SOV	SSJ
maščobe <nsubj zvišujejo >obj holesterol	['maščobe <nsubj', 'zvišujejo', '>obj holesterol']	S	V	O	SVO	SSJ
me <obj Kate <nsubj pregledala	['me <obj', 'Kate <nsubj', 'pregledala']	O	S	V	OSV	SSJ
me <obj blagrovali >nsubj rodovi	['me <obj', 'blagrovali', '>nsubj rodovi']	O	V	S	OVS	SSJ
me <obj bog <nsubj izbral	['me <obj', 'bog <nsubj', 'izbral']	O	S	V	OSV	SSJ
me <obj bog <nsubj usliši	['me <obj', 'bog <nsubj', 'usliši']	O	S	V	OSV	SSJ
me <obj dan <nsubj utrudil	['me <obj', 'dan <nsubj', 'utrudil']	O	S	V	OSV	SSJ
me <obj deklica <nsubj opazila	['me <obj', 'deklica <nsubj', 'opazila']	O	S	V	OSV	SSJ
me <obj ima >nsubj Fanika	['me <obj', 'ima', '>nsubj Fanika']	O	V	S	OVS	SSJ
me <obj kdo <nsubj razume	['me <obj', 'kdo <nsubj', 'razume']	O	S	V	OSV	SSJ
me <obj kolosa <nsubj obvladala	['me <obj', 'kolosa <nsubj', 'obvladala']	O	S	V	OSV	SSJ
me <obj mediji <nsubj podprli	['me <obj', 'mediji <nsubj', 'podprli']	O	S	V	OSV	SSJ
me <obj mika >nsubj pot	['me <obj', 'mika', '>nsubj pot']	O	V	S	OVS	SSJ
me <obj obisk <nsubj razjezil	['me <obj', 'obisk <nsubj', 'razjezil']	O	S	V	OSV	SSJ
me <obj poslal >nsubj Nurejev	['me <obj', 'poslal', '>nsubj Nurejev']	O	V	S	OVS	SSJ
me <obj pot <nsubj vodila	['me <obj', 'pot <nsubj', 'vodila']	O	S	V	OSV	SSJ
me <obj pošast <nsubj zagledala	['me <obj', 'pošast <nsubj', 'zagledala']	O	S	V	OSV	SSJ
me <obj pritegnilo >nsubj rastlin	['me <obj', 'pritegnilo', '>nsubj rastlin']	O	V	S	OVS	SSJ
me <obj sodišče <nsubj vrnilo	['me <obj', 'sodišče <nsubj', 'vrnilo']	O	S	V	OSV	SSJ
me <obj svet <nsubj odstavil	['me <obj', 'svet <nsubj', 'odstavil']	O	S	V	OSV	SSJ
me <obj tlačila >nsubj mora	['me <obj', 'tlačila', '>nsubj mora']	O	V	S	OVS	SSJ
me <obj zamikala >nsubj Slovenija	['me <obj', 'zamikala', '>nsubj Slovenija']	O	V	S	OVS	SSJ
me <obj zdržala >nsubj pista	['me <obj', 'zdržala', '>nsubj pista']	O	V	S	OVS	SSJ
me <obj žena <nsubj vara	['me <obj', 'žena <nsubj', 'vara']	O	S	V	OSV	SSJ
me <obj življenje <nsubj popeljalo	['me <obj', 'življenje <nsubj', 'popeljalo']	O	S	V	OSV	SSJ
med <nsubj odstranjuje >obj tkivo	['med <nsubj', 'odstranjuje', '>obj tkivo']	S	V	O	SVO	SSJ
medicina <nsubj uporablja >obj vonjanje	['medicina <nsubj', 'uporablja', '>obj vonjanje']	S	V	O	SVO	SSJ
meglica <nsubj ga <obj preganjala	['meglica <nsubj', 'ga <obj', 'preganjala']	S	O	V	SOV	SSJ
meja <nsubj predstavlja >obj nevarnosti	['meja <nsubj', 'predstavlja', '>obj nevarnosti']	S	V	O	SVO	SSJ
mejo <obj določajo >nsubj dejavniki	['mejo <obj', 'določajo', '>nsubj dejavniki']	O	V	S	OVS	SSJ
mene <obj froci <nsubj zajebaval	['mene <obj', 'froci <nsubj', 'zajebaval']	O	S	V	OSV	SSJ
merili >obj moči >nsubj igralci	['merili', '>obj moči', '>nsubj igralci']	V	O	S	VOS	SSJ
mesta <nsubj nadomestila >obj večino	['mesta <nsubj', 'nadomestila', '>obj večino']	S	V	O	SVO	SSJ
mesto <nsubj doživelo >obj razcvet	['mesto <nsubj', 'doživelo', '>obj razcvet']	S	V	O	SVO	SSJ
mesto <nsubj mi <obj pomeni	['mesto <nsubj', 'mi <obj', 'pomeni']	S	O	V	SOV	SSJ
mesto <nsubj povzroča >obj raka	['mesto <nsubj', 'povzroča', '>obj raka']	S	V	O	SVO	SSJ
mesto <nsubj pritegnilo >obj priseljencev	['mesto <nsubj', 'pritegnilo', '>obj priseljencev']	S	V	O	SVO	SSJ
mesto <nsubj ustreza >obj zmožnosti	['mesto <nsubj', 'ustreza', '>obj zmožnosti']	S	V	O	SVO	SSJ
mesto <nsubj zahteva >obj izkušnje	['mesto <nsubj', 'zahteva', '>obj izkušnje']	S	V	O	SVO	SSJ
mesto <obj opustošili >nsubj Turki	['mesto <obj', 'opustošili', '>nsubj Turki']	O	V	S	OVS	SSJ
mesto <obj prevzela >nsubj Zdenka	['mesto <obj', 'prevzela', '>nsubj Zdenka']	O	V	S	OVS	SSJ
mesto <obj zajela >nsubj panika	['mesto <obj', 'zajela', '>nsubj panika']	O	V	S	OVS	SSJ
mesto <obj zasedel >nsubj Izletnik	['mesto <obj', 'zasedel', '>nsubj Izletnik']	O	V	S	OVS	SSJ
mesto <obj zasedel >nsubj Slovenec	['mesto <obj', 'zasedel', '>nsubj Slovenec']	O	V	S	OVS	SSJ
metode <nsubj pokažejo >obj razlik	['metode <nsubj', 'pokažejo', '>obj razlik']	S	V	O	SVO	SSJ
mešanica <nsubj povzročila >obj eksplozije	['mešanica <nsubj', 'povzročila', '>obj eksplozije']	S	V	O	SVO	SSJ
mi <nsubj dali >obj maksimum	['mi <nsubj', 'dali', '>obj maksimum']	S	V	O	SVO	SSJ
mi <nsubj podprli >obj poravnave	['mi <nsubj', 'podprli', '>obj poravnave']	S	V	O	SVO	SSJ
mi <obj drhtijo >nsubj rokavice	['mi <obj', 'drhtijo', '>nsubj rokavice']	O	V	S	OVS	SSJ
mi <obj druženje <nsubj pomeni	['mi <obj', 'druženje <nsubj', 'pomeni']	O	S	V	OSV	SSJ
mi <obj gre >nsubj program	['mi <obj', 'gre', '>nsubj program']	O	V	S	OVS	SSJ
mi <obj porodila >nsubj asociacija	['mi <obj', 'porodila', '>nsubj asociacija']	O	V	S	OVS	SSJ
mi <obj pritekle >nsubj solze	['mi <obj', 'pritekle', '>nsubj solze']	O	V	S	OVS	SSJ
mi <obj to <nsubj pomagalo	['mi <obj', 'to <nsubj', 'pomagalo']	O	S	V	OSV	SSJ
mi <obj uspelo >nsubj prepričati	['mi <obj', 'uspelo', '>nsubj prepričati']	O	V	S	OVS	SSJ
mi <obj vi <nsubj težili	['mi <obj', 'vi <nsubj', 'težili']	O	S	V	OSV	SSJ
mi <obj zdi >nsubj hierarhija	['mi <obj', 'zdi', '>nsubj hierarhija']	O	V	S	OVS	SSJ
mikrokirurg <nsubj zagledal >obj vodjo	['mikrokirurg <nsubj', 'zagledal', '>obj vodjo']	S	V	O	SVO	SSJ
mikroorganizmi <nsubj ga <obj cenijo	['mikroorganizmi <nsubj', 'ga <obj', 'cenijo']	S	O	V	SOV	SSJ
milijon <nsubj končalo >obj izobraževanje	['milijon <nsubj', 'končalo', '>obj izobraževanje']	S	V	O	SVO	SSJ
milijona <nsubj zaslužilo >obj funta	['milijona <nsubj', 'zaslužilo', '>obj funta']	S	V	O	SVO	SSJ
milijonov <nsubj uporabilo >obj robote	['milijonov <nsubj', 'uporabilo', '>obj robote']	S	V	O	SVO	SSJ
milijonov <obj poravna >nsubj družina	['milijonov <obj', 'poravna', '>nsubj družina']	O	V	S	OVS	SSJ
minister <nsubj bistvo <obj povzel	['minister <nsubj', 'bistvo <obj', 'povzel']	S	O	V	SOV	SSJ
minister <nsubj izrazil >obj optimizem	['minister <nsubj', 'izrazil', '>obj optimizem']	S	V	O	SVO	SSJ
minister <nsubj objavil >obj sklep	['minister <nsubj', 'objavil', '>obj sklep']	S	V	O	SVO	SSJ
minister <nsubj ogledal >obj Jamesa	['minister <nsubj', 'ogledal', '>obj Jamesa']	S	V	O	SVO	SSJ
minister <nsubj opravil >obj zamenjave	['minister <nsubj', 'opravil', '>obj zamenjave']	S	V	O	SVO	SSJ
minister <nsubj pisal >obj pismo	['minister <nsubj', 'pisal', '>obj pismo']	S	V	O	SVO	SSJ
minister <nsubj podatke <obj dal	['minister <nsubj', 'podatke <obj', 'dal']	S	O	V	SOV	SSJ
minister <nsubj predlaga >obj upočasnitev	['minister <nsubj', 'predlaga', '>obj upočasnitev']	S	V	O	SVO	SSJ
ministri <nsubj izrazili >obj zadovoljstvo	['ministri <nsubj', 'izrazili', '>obj zadovoljstvo']	S	V	O	SVO	SSJ
ministrstvo <nsubj Pošto <obj opozorilo	['ministrstvo <nsubj', 'Pošto <obj', 'opozorilo']	S	O	V	SOV	SSJ
ministrstvo <nsubj ima >obj pravico	['ministrstvo <nsubj', 'ima', '>obj pravico']	S	V	O	SVO	SSJ
ministrstvo <nsubj nakazalo >obj milijonov	['ministrstvo <nsubj', 'nakazalo', '>obj milijonov']	S	V	O	SVO	SSJ
ministrstvo <nsubj omogočilo >obj projekt	['ministrstvo <nsubj', 'omogočilo', '>obj projekt']	S	V	O	SVO	SSJ
ministrstvo <nsubj oštevilčenje <obj dodeljuje	['ministrstvo <nsubj', 'oštevilčenje <obj', 'dodeljuje']	S	O	V	SOV	SSJ
ministrstvo <nsubj podpiralo >obj izobraževanje	['ministrstvo <nsubj', 'podpiralo', '>obj izobraževanje']	S	V	O	SVO	SSJ
ministrstvo <nsubj pojasnilo >obj način	['ministrstvo <nsubj', 'pojasnilo', '>obj način']	S	V	O	SVO	SSJ
ministrstvo <nsubj zahtevalo >obj pomoč	['ministrstvo <nsubj', 'zahtevalo', '>obj pomoč']	S	V	O	SVO	SSJ
misel <nsubj ga <obj obletavala	['misel <nsubj', 'ga <obj', 'obletavala']	S	O	V	SOV	SSJ
misel <obj izrekel >nsubj minister	['misel <obj', 'izrekel', '>nsubj minister']	O	V	S	OVS	SSJ
mistiki <nsubj preseči >obj stanja	['mistiki <nsubj', 'preseči', '>obj stanja']	S	V	O	SVO	SSJ
miza <nsubj spremljala >obj norčije	['miza <nsubj', 'spremljala', '>obj norčije']	S	V	O	SVO	SSJ
mlajši <nsubj nimajo >obj izkušenj	['mlajši <nsubj', 'nimajo', '>obj izkušenj']	S	V	O	SVO	SSJ
mleko <nsubj zmanjšuje >obj pogostnost	['mleko <nsubj', 'zmanjšuje', '>obj pogostnost']	S	V	O	SVO	SSJ
modeli <nsubj vrvico <obj navijajo	['modeli <nsubj', 'vrvico <obj', 'navijajo']	S	O	V	SOV	SSJ
mojster <nsubj prejel >obj evrov	['mojster <nsubj', 'prejel', '>obj evrov']	S	V	O	SVO	SSJ
monarh <nsubj uveljavlja >obj pravice	['monarh <nsubj', 'uveljavlja', '>obj pravice']	S	V	O	SVO	SSJ
monitorji <nsubj imeli >obj zaslone	['monitorji <nsubj', 'imeli', '>obj zaslone']	S	V	O	SVO	SSJ
morje <nsubj ločuje >obj Evropo	['morje <nsubj', 'ločuje', '>obj Evropo']	S	V	O	SVO	SSJ
mornarica <nsubj poslala >obj ladjo	['mornarica <nsubj', 'poslala', '>obj ladjo']	S	V	O	SVO	SSJ
mornarica <nsubj zasedla >obj mesto	['mornarica <nsubj', 'zasedla', '>obj mesto']	S	V	O	SVO	SSJ
motijo >obj jih >nsubj tla	['motijo', '>obj jih', '>nsubj tla']	V	O	S	VOS	SSJ
motivi <nsubj vključujejo >obj zvezd	['motivi <nsubj', 'vključujejo', '>obj zvezd']	S	V	O	SVO	SSJ
moč <obj pridobil >nsubj Mohamed	['moč <obj', 'pridobil', '>nsubj Mohamed']	O	V	S	OVS	SSJ
moški <nsubj hranijo >obj Playboye	['moški <nsubj', 'hranijo', '>obj Playboye']	S	V	O	SVO	SSJ
moški <nsubj predstavljali >obj blago	['moški <nsubj', 'predstavljali', '>obj blago']	S	V	O	SVO	SSJ
moški <nsubj so >obj ženskam	['moški <nsubj', 'so', '>obj ženskam']	S	V	O	SVO	SSJ
mož <nsubj shrani >obj številko	['mož <nsubj', 'shrani', '>obj številko']	S	V	O	SVO	SSJ
mož <nsubj spravil >obj Jimmyja	['mož <nsubj', 'spravil', '>obj Jimmyja']	S	V	O	SVO	SSJ
mož <nsubj to <obj privošči	['mož <nsubj', 'to <obj', 'privošči']	S	O	V	SOV	SSJ
mož <nsubj zapustil >obj skrinjo	['mož <nsubj', 'zapustil', '>obj skrinjo']	S	V	O	SVO	SSJ
možgani <nsubj porabljajo >obj energije	['možgani <nsubj', 'porabljajo', '>obj energije']	S	V	O	SVO	SSJ
možgani <nsubj registrirajo >obj podrobnosti	['možgani <nsubj', 'registrirajo', '>obj podrobnosti']	S	V	O	SVO	SSJ
možje <nsubj popisali >obj vlomov	['možje <nsubj', 'popisali', '>obj vlomov']	S	V	O	SVO	SSJ
